id ,image,caption
1,https://drive.google.com/file/d/1YCVksvcvsCPVTW-UoYdnGHKzrhqt1cDG/view?usp=drive_link,"Map showing the climatology of near-surface air temperature (Ta) from ERA5 for the period 1991–2020. Values are expressed in Kelvin (K). The pattern illustrates the familiar latitudinal gradient, with warmer temperatures in the tropics and cooler temperatures toward the poles."
2,https://drive.google.com/file/d/1uCa4GYzwVSsJnJ8txn9x9pdd9vAoSdlz/view?usp=drive_link,"Map illustrating the climatology of latent temperature (Tq), defined as the difference between equivalent temperature (Teq) and air temperature (Ta), based on ERA5 data for 1991–2020. Tq highlights the contribution of latent heat, with strongest values in tropical regions due to high humidity and moisture content."
3,https://drive.google.com/file/d/1V9-SxcDpaIMk-Mh63uAwn1ZK3sxDW8ib/view?usp=drive_link,"Climatological map of equivalent temperature (Teq) from ERA5 for the years 1991–2020. Teq combines sensible and latent heat to represent the total thermal energy content of the near-surface atmosphere, providing a more complete picture of atmospheric heating than Ta alone."
4,https://drive.google.com/file/d/1k8XiPLuVQye5F2x3BIHBvsbuCaTXCTBA/view?usp=drive_link,"Map of 2023 warm-season LSWT anomalies in Europe relative to the 1995–2020 baseline. Most lakes (268 analyzed) show positive anomalies, with an average trend of +0.31 ± 0.03 °C per decade. High LSWT values are consistent with increased air temperatures in the region."
5,https://drive.google.com/file/d/1N20rbbwmkiAA-L7PrNVfF7P7FoSFXxWD/view?usp=drive_link,"Map of 2023 LSWT anomalies across African lakes. Of the 145 non-dry lakes studied, 81% showed positive anomalies, with a regional mean of +0.33 °C. Grey areas indicate regions with missing satellite data due to persistent cloud cover or other limitations."
6,https://drive.google.com/file/d/1hcLoEFIJnYvtpMP4I3Vt_aWUpDEFzBSs/view?usp=drive_link,"Map showing LSWT anomalies for 496 Canadian lakes in 2023. A strong warming signal is visible, with 92% of observed lakes recording positive anomalies and a regional average anomaly of +0.83 °C. The mean warming trend since 1995 is +0.18 ± 0.03 °C per decade."
7,https://drive.google.com/file/d/17W309PShV2uiZ3HErhIK9e8i5otvFGHX/view?usp=drive_link,"Map depicting LSWT anomalies in 144 Tibetan lakes during 2023. Around 70% of the lakes show warming, with a modest mean anomaly of +0.09 °C. Despite the smaller magnitude, this region remains sensitive to climatic shifts due to its high-altitude environment."
8,https://drive.google.com/file/d/15Bhbrs_wGdQHoNVejjm7WzHZzfkbJv6j/view?usp=drive_link,"Lake temperature anomalies (°C, colored dots) and 2-m air temperature anomalies (°C) in 2023 for lakes in (a) Europe, (b) Africa, (c) Canada, and (d) the Tibetan Plateau. These values were calculated for the warm season (Jul–Sep in the extratropical Northern Hemisphere; Jan–Mar in the extratropical Southern Hemisphere; Jan–Dec in the tropics) with reference to the 1995–2020 base period."
9,https://drive.google.com/file/d/1Hkj5Uuxpd6Uvv1XAUu0iLv-TU8lh7vQp/view?usp=drive_link,"Surface air temperature anomalies (°C) for the Northern Hemisphere cold season (November 2022–April 2023) relative to the 1991–2020 baseline, based on NASA GISS GISTEMP analysis. Data are used in assessing lake ice phenology metrics, including freeze and thaw timing, and ice duration across 157 lakes."
10,https://drive.google.com/file/d/13J-mwGwyaAbuSDgjQL5wflK7hzT53ZnS/view?usp=drive_link,(a) Annual mean sea-surface temperature anomalies (SSTAs) in 2023 (°C) and (b) difference of annual mean SSTAs from the previous year (2023 minus 2022; °C). SSTAs are based on the 1991–2020 climatologies. The stippled areas in panel (b) indicate that the 2023-minus-2022 SSTA difference is significant at 95% confidence.
